name,address,area
Stephanie Harris,"8155 Andrews Manors Apt. 885
Michaeltown, WI 26183",100.0
Kiara Stokes,"6229 Jeffrey Place
Lake Jesse, HI 16018",1561.0
Dr. Laura Dougherty,"419 Mcclure Squares
Porterchester, CO 29011",84981.0
Dana Phillips,"3264 Murphy Mount
Levineside, NC 24566",19.0
Kenneth Cooper,"952 Stephanie Lodge Apt. 501
South Amberland, VA 13640",191.0
Timothy Rollins,"285 Elliott Avenue
Langmouth, MO 96374",183.0
Ryan Harrison,"822 Tommy Causeway
Bauerhaven, NE 24106",196.0
Kyle Sanchez,"20851 Gonzalez Curve Suite 414
East Margaret, NC 57259",3156.0
Tyler Baird,"965 Kristen Islands
Kimberlyburgh, RI 17693",5265.0
Jason Stone,"74109 Willis Squares
Harrisfort, CO 79798",10.0
